Comment,Description,Designator,Quantity,Manufacturer Part Number,Manufacturer

"CC0603KRX7R8BB103","CAP CER 10000PF 25V X7R 0603","C1, C2","2","CC0603KRX7R8BB103","YAGEO"
"CAP 10uF 6.3V 0603(1608)","CAP 10uF 6.3V ±20% 0603 (1608 Metric) Thickness 1mm SMD","C3, C51, C53, C55, C65","5","",""
"0.1uF","CAP CER 0.1UF 50V X7R 0603","C4, C6, C50, C52, C54, C58, C59, C61, C62, C63, C64, C66, C67, C69","14","C0603C104K5RACTU","KEMET"
"CC0603KRX7R7BB105","CAP CER 1UF 16V X7R 0603","C5, C60, C68","3","CC0603KRX7R7BB105","YAGEO"
"CAP 10uF 6.3V 0603(1608)","Multilayer Ceramic Capacitors 100nF ±10% 25V X7R SMD 0603","C7, C8, C19, C20, C31, C32, C43","7","",""
"CAP 10uF 6.3V 0603(1608)","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 25V","C9, C10, C21, C22, C33, C34","6","",""
"GRM32ER61E226KE15L","CAP CER 22UF 25V X5R 1210","C11, C12, C23, C24, C35, C36","6","GRM32ER61E226KE15L","Murata Electronics North America"
"C1608X5R0J226M080AC","CAP CER 0.1UF 25V Y5V 0603","C13, C25, C37","3","",""
"C1608X5R0J226M080AC","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V","C14, C26, C38","3","",""
"C1608X5R0J226M080AC","Multilayer Ceramic Capacitors 100nF ±10% 25V X7R SMD 0603","C15, C27, C39, C44","4","",""
"CC0603KRX7R9BB103","CAP CER 10000PF 50V X7R 0603","C16, C28, C40","3","CC0603KRX7R9BB103","YAGEO"
"0.1uF","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V","C17, C29, C41","3","",""
"C0603C104Z3VACTU","CAP CER 0.1UF 25V Y5V 0603","C18, C30, C42","3","",""
"GRM21BR61E106MA73L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 25V","C45, C46","2","",""
"GRM21BR61A226ME44L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V","C47, C48","2","",""
"C1608X7R1E104K080AA","Multilayer Ceramic Capacitors 100nF ±10% 25V X7R SMD 0603","C49","1","",""
"CC0603JRNPO9BN220","Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C56, C57","2","",""
"Blue LED","LED BLUE CLEAR CHIP SMD","D1, D2","2","",""
